,Epoch index,age_of_view,new_age_of_view,timeliness,consistence,completeness,intel_arrival_time,queuing_time,transmitting_time,service_time,service_rate,received_data,required_data
50,49,0.6027111956004416,267.0010596509956,126.88676702115089,972.0521765668486,0.67598260781105,0.057363862889958483,0.00010829619831393951,0.0033370955605718585,0.06080925464884428,0.0,3877,5814
51,50,0.4144750683676878,183.6124552868857,177.1751330271155,1634.007348933987,0.4553308836886715,0.032299418194496735,8.927949225095625e-05,0.0034236267870579383,0.03581232447380563,0.0,2647,5814
52,51,0.4993539210062852,221.21378700578433,151.31270977503112,1321.3004452282105,0.559566518257263,0.05344650309808866,6.119839533116565e-05,0.0032543265613243044,0.05676202805474414,0.0,3313,5814
53,52,0.5932825174429409,262.82415522722283,116.54730682852437,1012.2243163157389,0.6625918945614212,0.036956342426467975,8.722513797964865e-05,0.0035741158765989463,0.040617683441046576,0.0,3845,5814
54,53,0.48548581911493827,215.07021786791765,157.29044705608166,1366.9808088826157,0.5443397303724613,0.06733851611569733,0.00012289776955453429,0.0028480060195635814,0.07030941990481544,0.0,3162,5814
55,54,0.6197159345159943,274.53415899058547,113.74758728927091,896.9067144292884,0.7010310951902373,0.08176611601031897,0.00012773191573773582,0.0035364936042136946,0.0854303415302704,0.0,4097,5814
56,55,0.50366107822853,223.1218576552388,144.44185872736242,1322.7191168500406,0.5590936277166515,0.06262273108452733,0.0001321199474723256,0.0030850263355906697,0.06583987736759032,0.0,3207,5814
57,56,0.651031545422291,288.4069746220749,108.22098884695492,782.6247022353118,0.7391250992548962,0.05790913937854085,5.963492726556697e-05,0.003743416102332581,0.061712190408139,0.0,4309,5814
58,57,0.48171490817329277,213.3997043207687,150.91757392263824,1391.2710314516169,0.536242989516127,0.04049450658651237,7.875696860220353e-05,0.003066215199398044,0.04363947875451262,0.0,3147,5814
59,58,0.5787895308491908,256.40376216619154,133.4148852667968,1041.845381856668,0.6527182060477773,0.05381405988999862,8.969007800922986e-05,0.003002257336343115,0.05690600730435096,0.0,3735,5814
60,59,0.5851857021743656,259.23726606324396,128.27238232651655,1008.4767846901037,0.663841071769966,0.03687339948433044,7.88471231420841e-05,0.003987960872836719,0.04094020748030924,0.0,3822,5814
61,60,0.6276460161622893,278.0471851598942,110.23361870489387,876.3472419228636,0.70788425269238,0.03378330628740799,0.00013690466801093392,0.004484574868322046,0.03840478582374097,0.0,4132,5814
62,61,0.6599156250285777,292.3426218876599,100.56327286879339,761.8199332646288,0.746060022245124,0.037840270043635264,9.84944144332658e-05,0.003581640331075997,0.041520404789144524,0.0,4333,5814
63,62,0.5029164082581673,222.7919688583681,143.12825720102649,1327.8639625987232,0.5573786791337576,0.048289232526707554,7.301619201058764e-05,0.0029608728367193377,0.05132312155543747,0.0,3214,5814
64,63,0.5164613672899944,228.7923857094675,144.38931987420148,1247.7318862476877,0.5840893712507704,0.09691538620029329,6.0528706249493296e-05,0.003686982693754703,0.1006628976002975,0.0,3410,5814
65,64,0.5555116291007084,246.09165169161383,131.6475625474943,1137.1527738627071,0.6209490753790972,0.09074476857604008,0.00011022368927820411,0.003152746425884123,0.09400773869120241,0.0,3614,5814
66,65,0.42577655778215306,188.61901509749381,173.13451329276364,1588.9032712960493,0.47036557623465103,0.03992032821374998,9.057160734547328e-05,0.0027464258841234006,0.04275732570521887,0.0,2730,5814
67,66,0.4942019950772031,218.93148381920096,210.36048245419366,1362.361350087083,0.5458795499709721,0.06070684914791517,0.0001031492725276664,0.0023965387509405564,0.0632065371713834,0.0,3223,5814
68,67,0.6889405286493857,305.20065419167787,91.97714196629147,695.297507233174,0.7682341642556089,0.046499436930948546,6.161171930557023e-05,0.0042513167795334835,0.0508123654297876,0.0,4416,5814
69,68,0.5391605003196136,238.8481016415888,143.8405732164036,1162.5507205360473,0.6124830931546507,0.0647876911707485,9.385501898586007e-05,0.0037434161023325806,0.06862496229206694,0.0,3589,5814
70,69,0.7527522218745377,333.4692342904202,73.32431760518014,475.2472132833299,0.8415842622388902,0.05271197529627618,0.00022135824612903545,0.004420617005267118,0.05735395054767233,0.0,4833,5814
71,70,0.6193477649589402,274.3710598768105,108.43945523567672,927.4409751272061,0.6908530082909314,0.044556474332352415,9.884922387314897e-05,0.003310759969902182,0.047966083526127745,0.0,3999,5814
72,71,0.46642753521697095,206.62739810111813,165.1954597989477,1454.264396250853,0.5152452012497165,0.06950469049320634,9.037825229995748e-05,0.0027012791572610987,0.0722963479027674,0.0,2988,5814
73,72,0.5100570243726418,225.9552617970803,149.31951515064193,1290.3116635057952,0.5698961121647351,0.10246412353759067,0.0001249429633343828,0.003073739653875094,0.10566280615480016,0.0,3353,5814
74,73,0.4788237843131385,212.11893645072035,150.52886300137095,1420.517095771045,0.526494301409651,0.10406804677177287,0.0001099099239580817,0.0030850263355906697,0.10726298303132162,0.0,3017,5814
75,74,0.57126714457828,253.07134504817802,126.68694148837564,1065.1786982768936,0.6449404339077025,0.03462187386494708,0.00016435831827624892,0.004428141459744168,0.03921437364296749,0.0,3764,5814
76,75,0.5218850226349553,231.19506502728518,143.15156566738204,1238.2760486315783,0.5872413171228057,0.05746208828776753,0.00011803642301815122,0.003976674191121144,0.06155679890190682,0.0,3409,5814
77,76,0.6223357917142229,275.69475572940075,120.78834024398746,889.3673764159084,0.7035442078613637,0.051994187121595016,0.0001251502627723561,0.003638073739653875,0.05575741112402124,0.0,4028,5814
78,77,0.55459127989406,245.68393699306856,133.12109388502344,1116.799472160645,0.6277335092797844,0.2363519221489372,0.0001175357557767152,0.0032430398796087284,0.23971249778432258,0.0,3683,5814
79,78,0.6003953711450825,265.97514941727155,115.76571853661319,987.8355091109042,0.6707214969630315,0.03884622768655053,5.678584606714356e-05,0.0033784800601956355,0.0422814935928133,0.0,3869,5814
80,79,0.500237667648033,221.60528676807863,149.35010810639534,1312.0937565068477,0.5626354144977167,0.10948664874077021,0.00011457399275584582,0.003863807373965388,0.11346503010749145,0.0,3202,5814
81,80,0.4967081774255582,220.04172259952227,148.60784023657905,1359.0316944154401,0.5469894351948523,0.039535322347959485,0.00011991414259229805,0.003310759969902182,0.04296599646045396,0.0,3146,5814
82,81,0.47886425253444553,212.13686387275936,153.24247596637292,1411.953875695409,0.5293487081015295,0.06591929761904575,0.00010945531741295366,0.002490594431903687,0.06851934736836239,0.0,3033,5814
83,82,0.45151559707764444,200.0214095053965,164.47550695855483,1496.371743380773,0.5012094188730756,0.03747557421852079,8.893398680846786e-05,0.0032580887885628293,0.04082259699389209,0.0,2940,5814
84,83,0.5714786499739928,253.16504193847882,120.58159524543986,1090.4381077913802,0.6365206307362059,0.37866354324698015,0.00010868533958246347,0.0034913468773513923,0.38226357546391404,0.0,3712,5814
85,84,0.5728127432663254,253.7560452669821,128.65929679258548,1065.3644511996656,0.6448785162667777,0.15671614907793174,0.00010593141878908345,0.003969149736644093,0.16079123023336495,0.0,3705,5814
86,85,0.623462832512279,276.1940348029396,116.08049346958404,885.4007918342003,0.7048664027219333,0.02954391203724496,0.00011354895849751651,0.004240030097817908,0.033897491093560383,0.0,4073,5814
87,86,0.5405819302616762,239.47779510592255,133.51060614643433,1203.177052443419,0.5989409825188603,0.043008885900590224,0.00011739043594639549,0.003592927012791573,0.04671920334932819,0.0,3500,5814
88,87,0.494393760349587,219.01643583486702,151.790620863283,1352.7731861817633,0.5490756046060785,0.036397290566760776,8.567051648809386e-05,0.003054928517682468,0.03953788960093133,0.0,3142,5814
89,88,0.4671690133664321,206.95587292132942,154.96104472942739,1449.3346382736895,0.5168884539087696,0.12005761483530406,8.230240817840679e-05,0.0031000752445447706,0.12323999248802724,0.0,2970,5814
90,89,0.4498777755724894,199.29585457861282,160.81032627296008,1501.938392683315,0.49935386910556206,0.05336080771791404,0.00010716848271609744,0.003491346877351392,0.05695932307798152,0.0,2862,5814
91,90,0.5751223481930682,254.7792002495292,124.83659694658414,1060.8186489958493,0.6463937836680494,0.02549588102465461,0.00012893477284739227,0.003732129420617006,0.029356945218119008,0.0,3732,5814
92,91,0.5014224151139304,222.13012989547116,162.8141588193784,1325.114849409431,0.558295050196856,0.0402194581862733,8.277766607961846e-05,0.0030285929270127917,0.04333082877936572,0.0,3299,5814
93,92,0.5248181459309347,232.49443864740408,155.8731469988108,1251.6876558355114,0.5827707813881622,0.02996403882432745,0.00010922881279050388,0.0032279909706546274,0.03330125860777258,0.0,3334,5814
94,93,0.5935405588305044,262.93846756191346,118.12443910049056,1019.4461200951041,0.6601846266349658,0.2246456365605112,8.020764543516167e-05,0.0031527464258841236,0.22787859063183044,0.0,3859,5814
95,94,0.5182897062024002,229.6023398476633,139.3917077240622,1266.057738348935,0.577980753883688,0.23587929372284058,7.822590105106733e-05,0.003449962377727615,0.23940748200161924,0.0,3348,5814
96,95,0.5241984859916133,232.2199292942847,137.10393984529478,1246.1553495413536,0.5846148834862145,0.04688217559669333,0.00011353921513824858,0.003404815650865312,0.0504005304626969,0.0,3395,5814
97,96,0.6254778652619493,277.0866943110435,112.70724791299418,892.5643581399798,0.7024785472866735,0.039056796737362925,0.00010378772107127284,0.0035063957863054928,0.042666980244739694,0.0,4093,5814
